campaign_id,campaign_name,campaign_start,campaign_end
CAMP001,Diwali Dhamaka 2021,2021-10-25,2021-11-05
CAMP002,Republic Day Sale 2022,2022-01-20,2022-01-27
CAMP003,Summer Tech Fest 2022,2022-05-01,2022-05-15
CAMP004,Back to School 2022,2022-06-15,2022-07-15
CAMP005,Diwali Dhamaka 2022,2022-10-15,2022-10-26
CAMP006,New Year Special 2023,2022-12-25,2023-01-05
CAMP007,Republic Day Sale 2023,2023-01-20,2023-01-27
CAMP008,Monsoon Mania 2023,2023-07-01,2023-07-10
CAMP009,Diwali Dhamaka 2023,2023-11-05,2023-11-15
CAMP010,Republic Day Sale 2024,2024-01-20,2024-01-27
CAMP011,Back to School 2024,2024-06-15,2024-07-15
CAMP012,Diwali Dhamaka 2024,2024-10-20,2024-11-02
