inventory_id,product_id,warehouse,opening_stock,closing_stock,restock_quantity,inventory_date,event_type,event_description
INV000001,P009,Delhi_WH,3581,7537,9040,2021-01-01,None,None
INV000002,P009,Mumbai_WH,1127,137,2690,2021-01-01,None,None
INV000003,P009,Bengaluru_WH,2959,404,8481,2021-01-01,None,None
INV000004,P009,Kolkata_WH,4131,2483,9128,2021-01-01,None,None
INV000005,P009,Hyderabad_WH,3038,3607,1479,2021-01-01,None,None
INV000006,P010,Delhi_WH,3001,3486,913,2021-01-01,None,None
INV000007,P010,Mumbai_WH,4955,11511,7110,2021-01-01,None,None
INV000008,P010,Bengaluru_WH,1438,846,8030,2021-01-01,None,None
INV000009,P010,Kolkata_WH,3261,1404,4023,2021-01-01,None,None
INV000010,P010,Hyderabad_WH,1171,2787,5439,2021-01-01,None,None
INV000011,P001,Delhi_WH,2155,5965,6820,2021-02-01,None,None
INV000012,P001,Mumbai_WH,2571,757,3057,2021-02-01,None,None
INV000013,P001,Bengaluru_WH,2312,2269,1374,2021-02-01,None,None
INV000014,P001,Kolkata_WH,4123,4004,6513,2021-02-01,None,None
INV000015,P001,Hyderabad_WH,696,6116,5637,2021-02-01,None,None
INV000016,P004,Delhi_WH,1344,9973,9538,2021-02-01,None,None
INV000017,P004,Mumbai_WH,4636,1716,2100,2021-02-01,None,None
INV000018,P004,Bengaluru_WH,2140,10344,9004,2021-02-01,None,None
INV000019,P004,Kolkata_WH,2106,5474,6873,2021-02-01,None,None
INV000020,P004,Hyderabad_WH,1166,1191,1410,2021-02-01,None,None
INV000021,P009,Delhi_WH,4266,9226,6497,2021-02-01,None,None
INV000022,P009,Mumbai_WH,4404,6517,7127,2021-02-01,None,None
INV000023,P009,Bengaluru_WH,3218,5442,2453,2021-02-01,None,None
INV000024,P009,Kolkata_WH,2740,552,4340,2021-02-01,None,None
INV000025,P009,Hyderabad_WH,1774,3084,4947,2021-02-01,None,None
INV000026,P010,Delhi_WH,2544,5354,4327,2021-02-01,None,None
INV000027,P010,Mumbai_WH,487,3463,5994,2021-02-01,None,None
INV000028,P010,Bengaluru_WH,2799,7466,6620,2021-02-01,None,None
INV000029,P010,Kolkata_WH,4307,478,3046,2021-02-01,None,None
INV000030,P010,Hyderabad_WH,2575,584,1013,2021-02-01,None,None
INV000031,P001,Delhi_WH,1317,220,2001,2021-03-01,None,None
INV000032,P001,Mumbai_WH,2882,941,8197,2021-03-01,None,None
INV000033,P001,Bengaluru_WH,1409,4380,6047,2021-03-01,None,None
INV000034,P001,Kolkata_WH,2684,2419,8470,2021-03-01,None,None
INV000035,P001,Hyderabad_WH,843,1528,726,2021-03-01,None,None
INV000036,P004,Delhi_WH,3895,4827,3753,2021-03-01,None,None
INV000037,P004,Mumbai_WH,3082,6299,6484,2021-03-01,None,None
INV000038,P004,Bengaluru_WH,2311,987,999,2021-03-01,None,None
INV000039,P004,Kolkata_WH,1423,3974,6223,2021-03-01,None,None
INV000040,P004,Hyderabad_WH,1777,4619,3895,2021-03-01,None,None
INV000041,P009,Delhi_WH,1877,3969,3805,2021-03-01,None,None
INV000042,P009,Mumbai_WH,4642,2967,6523,2021-03-01,None,None
INV000043,P009,Bengaluru_WH,777,1701,3658,2021-03-01,None,None
INV000044,P009,Kolkata_WH,2706,632,3086,2021-03-01,None,None
INV000045,P009,Hyderabad_WH,2477,232,3020,2021-03-01,None,None
INV000046,P010,Delhi_WH,4010,1534,6242,2021-03-01,None,None
INV000047,P010,Mumbai_WH,1550,2454,906,2021-03-01,None,None
INV000048,P010,Bengaluru_WH,1400,8453,8440,2021-03-01,None,None
INV000049,P010,Kolkata_WH,3973,11461,8530,2021-03-01,None,None
INV000050,P010,Hyderabad_WH,4166,13294,9648,2021-03-01,None,None
INV000051,P011,Delhi_WH,375,495,4952,2021-03-01,None,None
INV000052,P011,Mumbai_WH,4450,8830,8097,2021-03-01,None,None
INV000053,P011,Bengaluru_WH,4251,8846,4693,2021-03-01,None,None
INV000054,P011,Kolkata_WH,3424,8721,8096,2021-03-01,None,None
INV000055,P011,Hyderabad_WH,1059,363,2045,2021-03-01,None,None
INV000056,P001,Delhi_WH,1377,3824,4506,2021-04-01,None,None
INV000057,P001,Mumbai_WH,4630,4446,4417,2021-04-01,None,None
INV000058,P001,Bengaluru_WH,4956,8554,7367,2021-04-01,None,None
INV000059,P001,Kolkata_WH,1133,2593,4320,2021-04-01,None,None
INV000060,P001,Hyderabad_WH,4071,393,4090,2021-04-01,None,None
INV000061,P004,Delhi_WH,4303,3407,2581,2021-04-01,None,None
INV000062,P004,Mumbai_WH,612,5315,5034,2021-04-01,None,None
INV000063,P004,Bengaluru_WH,3584,2129,2168,2021-04-01,None,None
INV000064,P004,Kolkata_WH,2319,332,1681,2021-04-01,None,None
INV000065,P004,Hyderabad_WH,524,3742,3302,2021-04-01,None,None
INV000066,P009,Delhi_WH,1489,2068,816,2021-04-01,None,None
INV000067,P009,Mumbai_WH,236,2167,5832,2021-04-01,None,None
INV000068,P009,Bengaluru_WH,2562,3100,1400,2021-04-01,None,None
INV000069,P009,Kolkata_WH,4090,4285,2130,2021-04-01,None,None
INV000070,P009,Hyderabad_WH,4040,11258,8846,2021-04-01,None,None
INV000071,P010,Delhi_WH,3052,3661,2146,2021-04-01,None,None
INV000072,P010,Mumbai_WH,1490,2414,1084,2021-04-01,None,None
INV000073,P010,Bengaluru_WH,3693,11440,8509,2021-04-01,None,None
INV000074,P010,Kolkata_WH,273,3740,5984,2021-04-01,None,None
INV000075,P010,Hyderabad_WH,1337,208,4659,2021-04-01,None,None
INV000076,P011,Delhi_WH,1266,142,5877,2021-04-01,None,None
INV000077,P011,Mumbai_WH,1449,2601,7907,2021-04-01,None,None
INV000078,P011,Bengaluru_WH,2982,5795,5690,2021-04-01,None,None
INV000079,P011,Kolkata_WH,4054,10572,7232,2021-04-01,None,None
INV000080,P011,Hyderabad_WH,2762,5207,6907,2021-04-01,None,None
INV000081,P001,Delhi_WH,3932,5483,2893,2021-05-01,None,None
INV000082,P001,Mumbai_WH,2995,5239,7438,2021-05-01,None,None
INV000083,P001,Bengaluru_WH,3294,1546,2118,2021-05-01,None,None
INV000084,P001,Kolkata_WH,2834,5698,8694,2021-05-01,None,None
INV000085,P001,Hyderabad_WH,791,4650,5779,2021-05-01,None,None
INV000086,P004,Delhi_WH,3871,60,682,2021-05-01,None,None
INV000087,P004,Mumbai_WH,4786,12035,9163,2021-05-01,None,None
INV000088,P004,Bengaluru_WH,655,2857,3008,2021-05-01,None,None
INV000089,P004,Kolkata_WH,1844,1941,2922,2021-05-01,None,None
INV000090,P004,Hyderabad_WH,3988,4358,5643,2021-05-01,None,None
INV000091,P009,Delhi_WH,3117,6982,6994,2021-05-01,None,None
INV000092,P009,Mumbai_WH,1142,7369,7045,2021-05-01,None,None
INV000093,P009,Bengaluru_WH,2293,3362,4878,2021-05-01,None,None
INV000094,P009,Kolkata_WH,929,8901,9848,2021-05-01,None,None
INV000095,P009,Hyderabad_WH,1227,69,6583,2021-05-01,None,None
INV000096,P010,Delhi_WH,1312,637,8585,2021-05-01,None,None
INV000097,P010,Mumbai_WH,1785,1330,7526,2021-05-01,None,None
INV000098,P010,Bengaluru_WH,3174,6608,9413,2021-05-01,None,None
INV000099,P010,Kolkata_WH,2084,4640,9645,2021-05-01,None,None
INV000100,P010,Hyderabad_WH,1602,3854,4053,2021-05-01,None,None
INV000101,P011,Delhi_WH,903,1904,5358,2021-05-01,None,None
INV000102,P011,Mumbai_WH,4252,12420,8314,2021-05-01,None,None
INV000103,P011,Bengaluru_WH,419,1148,2039,2021-05-01,None,None
INV000104,P011,Kolkata_WH,1373,5514,5024,2021-05-01,None,None
INV000105,P011,Hyderabad_WH,4810,1996,2059,2021-05-01,None,None
INV000106,P012,Delhi_WH,3946,5718,7871,2021-05-01,None,None
INV000107,P012,Mumbai_WH,4579,5700,3073,2021-05-01,None,None
INV000108,P012,Bengaluru_WH,524,746,5003,2021-05-01,None,None
INV000109,P012,Kolkata_WH,3742,5457,5291,2021-05-01,None,None
INV000110,P012,Hyderabad_WH,159,4680,4860,2021-05-01,None,None
INV000111,P013,Delhi_WH,112,2155,3263,2021-05-01,None,None
INV000112,P013,Mumbai_WH,1971,2751,6350,2021-05-01,None,None
INV000113,P013,Bengaluru_WH,3010,3764,8657,2021-05-01,None,None
INV000114,P013,Kolkata_WH,660,1170,1361,2021-05-01,None,None
INV000115,P013,Hyderabad_WH,3312,819,6339,2021-05-01,None,None
INV000116,P001,Delhi_WH,1073,655,1045,2021-06-01,None,None
INV000117,P001,Mumbai_WH,2754,813,9294,2021-06-01,None,None
INV000118,P001,Bengaluru_WH,4088,606,876,2021-06-01,None,None
INV000119,P001,Kolkata_WH,4601,5283,7921,2021-06-01,None,None
INV000120,P001,Hyderabad_WH,2089,444,5830,2021-06-01,None,None
INV000121,P004,Delhi_WH,1938,6197,8156,2021-06-01,None,None
INV000122,P004,Mumbai_WH,2638,1705,2507,2021-06-01,None,None
INV000123,P004,Bengaluru_WH,1346,3893,7331,2021-06-01,None,None
INV000124,P004,Kolkata_WH,2887,2609,4851,2021-06-01,None,None
INV000125,P004,Hyderabad_WH,1464,1968,797,2021-06-01,None,None
INV000126,P007,Delhi_WH,622,495,5781,2021-06-01,None,None
INV000127,P007,Mumbai_WH,3937,3745,2756,2021-06-01,None,None
INV000128,P007,Bengaluru_WH,1760,3825,4776,2021-06-01,None,None
INV000129,P007,Kolkata_WH,3992,5164,1850,2021-06-01,None,None
INV000130,P007,Hyderabad_WH,1586,737,8500,2021-06-01,None,None
INV000131,P009,Delhi_WH,4793,7835,9908,2021-06-01,None,None
INV000132,P009,Mumbai_WH,4732,2261,4507,2021-06-01,None,None
INV000133,P009,Bengaluru_WH,4121,1678,5658,2021-06-01,None,None
INV000134,P009,Kolkata_WH,2459,1233,1609,2021-06-01,None,None
INV000135,P009,Hyderabad_WH,2400,2617,1035,2021-06-01,None,None
INV000136,P010,Delhi_WH,364,2527,4456,2021-06-01,None,None
INV000137,P010,Mumbai_WH,3071,4648,6111,2021-06-01,None,None
INV000138,P010,Bengaluru_WH,464,2725,2781,2021-06-01,None,None
INV000139,P010,Kolkata_WH,2803,1962,9712,2021-06-01,None,None
INV000140,P010,Hyderabad_WH,2588,9951,8903,2021-06-01,None,None
INV000141,P011,Delhi_WH,1669,5072,8681,2021-06-01,None,None
INV000142,P011,Mumbai_WH,1142,2357,7178,2021-06-01,None,None
INV000143,P011,Bengaluru_WH,4830,13340,8858,2021-06-01,None,None
INV000144,P011,Kolkata_WH,2037,4222,3119,2021-06-01,None,None
INV000145,P011,Hyderabad_WH,1832,3788,5511,2021-06-01,None,None
INV000146,P012,Delhi_WH,1834,5637,5251,2021-06-01,None,None
INV000147,P012,Mumbai_WH,1102,4160,3682,2021-06-01,None,None
INV000148,P012,Bengaluru_WH,2414,527,8575,2021-06-01,None,None
INV000149,P012,Kolkata_WH,4649,4542,1419,2021-06-01,None,None
INV000150,P012,Hyderabad_WH,4363,4986,6164,2021-06-01,None,None
INV000151,P013,Delhi_WH,1791,1294,3843,2021-06-01,None,None
INV000152,P013,Mumbai_WH,4816,8905,4938,2021-06-01,None,None
INV000153,P013,Bengaluru_WH,1002,4661,8024,2021-06-01,None,None
INV000154,P013,Kolkata_WH,4955,12159,8392,2021-06-01,None,None
INV000155,P013,Hyderabad_WH,3895,2287,8255,2021-06-01,None,None
INV000156,P001,Delhi_WH,860,1433,1741,2021-07-01,None,None
INV000157,P001,Mumbai_WH,1982,3275,3890,2021-07-01,None,None
INV000158,P001,Bengaluru_WH,3852,8522,7915,2021-07-01,None,None
INV000159,P001,Kolkata_WH,4710,7035,4951,2021-07-01,None,None
INV000160,P001,Hyderabad_WH,2939,8808,7530,2021-07-01,None,None
INV000161,P002,Delhi_WH,3534,8081,4564,2021-07-01,None,None
INV000162,P002,Mumbai_WH,818,7983,8907,2021-07-01,None,None
INV000163,P002,Bengaluru_WH,2141,14,504,2021-07-01,None,None
INV000164,P002,Kolkata_WH,3370,1251,7298,2021-07-01,None,None
INV000165,P002,Hyderabad_WH,4309,7925,7968,2021-07-01,None,None
INV000166,P004,Delhi_WH,2182,2838,1420,2021-07-01,None,None
INV000167,P004,Mumbai_WH,1380,5497,4247,2021-07-01,None,None
INV000168,P004,Bengaluru_WH,4754,6318,2427,2021-07-01,None,None
INV000169,P004,Kolkata_WH,2038,1386,9910,2021-07-01,None,None
INV000170,P004,Hyderabad_WH,4807,6732,2676,2021-07-01,None,None
INV000171,P007,Delhi_WH,3468,4052,7996,2021-07-01,None,None
INV000172,P007,Mumbai_WH,1157,3598,3974,2021-07-01,None,None
INV000173,P007,Bengaluru_WH,3945,5922,8525,2021-07-01,None,None
INV000174,P007,Kolkata_WH,3051,1634,3549,2021-07-01,None,None
INV000175,P007,Hyderabad_WH,1540,6525,5629,2021-07-01,None,None
INV000176,P009,Delhi_WH,4624,3506,5501,2021-07-01,None,None
INV000177,P009,Mumbai_WH,520,2135,3610,2021-07-01,None,None
INV000178,P009,Bengaluru_WH,3993,727,2799,2021-07-01,None,None
INV000179,P009,Kolkata_WH,2005,4582,4081,2021-07-01,None,None
INV000180,P009,Hyderabad_WH,769,1336,9477,2021-07-01,None,None
INV000181,P010,Delhi_WH,1931,3926,7561,2021-07-01,None,None
INV000182,P010,Mumbai_WH,2945,4602,3916,2021-07-01,None,None
INV000183,P010,Bengaluru_WH,4096,3562,2676,2021-07-01,None,None
INV000184,P010,Kolkata_WH,1310,744,2239,2021-07-01,None,None
INV000185,P010,Hyderabad_WH,3257,2504,1232,2021-07-01,None,None
INV000186,P011,Delhi_WH,323,4399,6969,2021-07-01,None,None
INV000187,P011,Mumbai_WH,2677,102,4051,2021-07-01,None,None
INV000188,P011,Bengaluru_WH,4352,7276,6477,2021-07-01,None,None
INV000189,P011,Kolkata_WH,3796,5230,6056,2021-07-01,None,None
INV000190,P011,Hyderabad_WH,1608,2591,4327,2021-07-01,None,None
INV000191,P012,Delhi_WH,1914,1365,2905,2021-07-01,None,None
INV000192,P012,Mumbai_WH,1428,6590,5576,2021-07-01,None,None
INV000193,P012,Bengaluru_WH,1526,4552,7865,2021-07-01,None,None
INV000194,P012,Kolkata_WH,1176,4573,5227,2021-07-01,None,None
INV000195,P012,Hyderabad_WH,3872,6136,7502,2021-07-01,None,None
INV000196,P013,Delhi_WH,1955,2859,4484,2021-07-01,None,None
INV000197,P013,Mumbai_WH,3889,5633,4460,2021-07-01,None,None
INV000198,P013,Bengaluru_WH,3758,2532,6029,2021-07-01,None,None
INV000199,P013,Kolkata_WH,4669,3500,3501,2021-07-01,None,None
INV000200,P013,Hyderabad_WH,4026,3632,2643,2021-07-01,None,None
INV000201,P014,Delhi_WH,4035,3644,4174,2021-07-01,None,None
INV000202,P014,Mumbai_WH,4143,7159,3669,2021-07-01,None,None
INV000203,P014,Bengaluru_WH,466,3197,8728,2021-07-01,None,None
INV000204,P014,Kolkata_WH,2126,4699,6043,2021-07-01,None,None
INV000205,P014,Hyderabad_WH,4736,1800,3192,2021-07-01,None,None
INV000206,P015,Delhi_WH,2722,8265,7056,2021-07-01,None,None
INV000207,P015,Mumbai_WH,3083,5726,3776,2021-07-01,None,None
INV000208,P015,Bengaluru_WH,3505,2977,809,2021-07-01,None,None
INV000209,P015,Kolkata_WH,3995,10192,7862,2021-07-01,None,None
INV000210,P015,Hyderabad_WH,4657,11674,9729,2021-07-01,None,None
INV000211,P001,Delhi_WH,4152,1417,3226,2021-08-01,None,None
INV000212,P001,Mumbai_WH,1268,650,1496,2021-08-01,None,None
INV000213,P001,Bengaluru_WH,2043,334,8416,2021-08-01,None,None
INV000214,P001,Kolkata_WH,1000,916,1414,2021-08-01,None,None
INV000215,P001,Hyderabad_WH,4749,5904,7564,2021-08-01,None,None
INV000216,P002,Delhi_WH,2432,3865,8210,2021-08-01,None,None
INV000217,P002,Mumbai_WH,4951,691,3333,2021-08-01,None,None
INV000218,P002,Bengaluru_WH,3711,2001,3996,2021-08-01,None,None
INV000219,P002,Kolkata_WH,1039,1494,1118,2021-08-01,None,None
INV000220,P002,Hyderabad_WH,4226,2590,523,2021-08-01,None,None
INV000221,P004,Delhi_WH,426,1003,2553,2021-08-01,None,None
INV000222,P004,Mumbai_WH,1822,794,3039,2021-08-01,None,None
INV000223,P004,Bengaluru_WH,4680,2273,5780,2021-08-01,None,None
INV000224,P004,Kolkata_WH,3215,10575,8502,2021-08-01,None,None
INV000225,P004,Hyderabad_WH,2752,8334,7981,2021-08-01,None,None
INV000226,P007,Delhi_WH,4269,2148,6120,2021-08-01,None,None
INV000227,P007,Mumbai_WH,958,2974,5929,2021-08-01,None,None
INV000228,P007,Bengaluru_WH,2479,668,1452,2021-08-01,None,None
INV000229,P007,Kolkata_WH,4473,2471,2436,2021-08-01,None,None
INV000230,P007,Hyderabad_WH,3028,9691,8620,2021-08-01,None,None
INV000231,P009,Delhi_WH,866,1175,4671,2021-08-01,None,None
INV000232,P009,Mumbai_WH,4056,5112,1454,2021-08-01,None,None
INV000233,P009,Bengaluru_WH,2932,8291,9813,2021-08-01,None,None
INV000234,P009,Kolkata_WH,4126,6064,5973,2021-08-01,None,None
INV000235,P009,Hyderabad_WH,3198,10223,7969,2021-08-01,None,None
INV000236,P010,Delhi_WH,3249,555,525,2021-08-01,None,None
INV000237,P010,Mumbai_WH,4261,6442,4004,2021-08-01,None,None
INV000238,P010,Bengaluru_WH,2854,7816,5912,2021-08-01,None,None
INV000239,P010,Kolkata_WH,4781,3988,8719,2021-08-01,None,None
INV000240,P010,Hyderabad_WH,2837,7302,4484,2021-08-01,None,None
INV000241,P011,Delhi_WH,4709,6891,8311,2021-08-01,None,None
INV000242,P011,Mumbai_WH,2720,3881,9012,2021-08-01,None,None
INV000243,P011,Bengaluru_WH,4320,11731,9461,2021-08-01,None,None
INV000244,P011,Kolkata_WH,2790,139,1330,2021-08-01,None,None
INV000245,P011,Hyderabad_WH,2822,1139,8131,2021-08-01,None,None
INV000246,P012,Delhi_WH,4056,1054,7542,2021-08-01,None,None
INV000247,P012,Mumbai_WH,514,203,7111,2021-08-01,None,None
INV000248,P012,Bengaluru_WH,2345,6633,9455,2021-08-01,None,None
INV000249,P012,Kolkata_WH,703,1820,4746,2021-08-01,None,None
INV000250,P012,Hyderabad_WH,3752,5695,8393,2021-08-01,None,None
INV000251,P013,Delhi_WH,1044,1856,1781,2021-08-01,None,None
INV000252,P013,Mumbai_WH,4295,7811,5285,2021-08-01,None,None
INV000253,P013,Bengaluru_WH,1261,835,1481,2021-08-01,None,None
INV000254,P013,Kolkata_WH,2897,622,7097,2021-08-01,None,None
INV000255,P013,Hyderabad_WH,3643,6054,3016,2021-08-01,None,None
INV000256,P014,Delhi_WH,4880,11060,6571,2021-08-01,None,None
INV000257,P014,Mumbai_WH,2528,2312,6331,2021-08-01,None,None
INV000258,P014,Bengaluru_WH,1230,2584,8338,2021-08-01,None,None
INV000259,P014,Kolkata_WH,3901,7066,9404,2021-08-01,None,None
INV000260,P014,Hyderabad_WH,3361,1627,648,2021-08-01,None,None
INV000261,P015,Delhi_WH,2963,3570,7845,2021-08-01,None,None
INV000262,P015,Mumbai_WH,4901,1951,4878,2021-08-01,None,None
INV000263,P015,Bengaluru_WH,4550,6192,1645,2021-08-01,None,None
INV000264,P015,Kolkata_WH,969,9097,8287,2021-08-01,None,None
INV000265,P015,Hyderabad_WH,2230,3012,2193,2021-08-01,None,None
INV000266,P001,Delhi_WH,4570,7161,6028,2021-09-01,None,None
INV000267,P001,Mumbai_WH,4610,10003,9526,2021-09-01,None,None
INV000268,P001,Bengaluru_WH,4529,5827,2330,2021-09-01,None,None
INV000269,P001,Kolkata_WH,2343,6612,7877,2021-09-01,None,None
INV000270,P001,Hyderabad_WH,1367,1621,6900,2021-09-01,None,None
INV000271,P002,Delhi_WH,3931,7113,9282,2021-09-01,None,None
INV000272,P002,Mumbai_WH,4010,2837,9544,2021-09-01,None,None
INV000273,P002,Bengaluru_WH,3814,4167,6225,2021-09-01,None,None
INV000274,P002,Kolkata_WH,4942,3052,1947,2021-09-01,None,None
INV000275,P002,Hyderabad_WH,3402,6579,4472,2021-09-01,None,None
INV000276,P004,Delhi_WH,1404,246,6388,2021-09-01,None,None
INV000277,P004,Mumbai_WH,428,4602,4342,2021-09-01,None,None
INV000278,P004,Bengaluru_WH,148,4855,8022,2021-09-01,None,None
INV000279,P004,Kolkata_WH,3860,7546,7350,2021-09-01,None,None
INV000280,P004,Hyderabad_WH,1699,4442,3747,2021-09-01,None,None
INV000281,P005,Delhi_WH,3408,5660,2400,2021-09-01,None,None
INV000282,P005,Mumbai_WH,554,355,4382,2021-09-01,None,None
INV000283,P005,Bengaluru_WH,2882,4946,6386,2021-09-01,None,None
INV000284,P005,Kolkata_WH,1080,451,3599,2021-09-01,None,None
INV000285,P005,Hyderabad_WH,3173,8128,5085,2021-09-01,None,None
INV000286,P007,Delhi_WH,1871,4359,8566,2021-09-01,None,None
INV000287,P007,Mumbai_WH,105,1711,3842,2021-09-01,None,None
INV000288,P007,Bengaluru_WH,3789,5573,6919,2021-09-01,None,None
INV000289,P007,Kolkata_WH,489,1217,1510,2021-09-01,None,None
INV000290,P007,Hyderabad_WH,4189,3763,978,2021-09-01,None,None
INV000291,P009,Delhi_WH,547,1829,1782,2021-09-01,None,None
INV000292,P009,Mumbai_WH,2966,2322,1416,2021-09-01,None,None
INV000293,P009,Bengaluru_WH,1583,8254,9378,2021-09-01,None,None
INV000294,P009,Kolkata_WH,3724,3690,557,2021-09-01,None,None
INV000295,P009,Hyderabad_WH,2532,404,3558,2021-09-01,None,None
INV000296,P010,Delhi_WH,3421,9292,9426,2021-09-01,None,None
INV000297,P010,Mumbai_WH,4904,11578,7309,2021-09-01,None,None
INV000298,P010,Bengaluru_WH,3604,4356,2207,2021-09-01,None,None
INV000299,P010,Kolkata_WH,2663,6168,6967,2021-09-01,None,None
INV000300,P010,Hyderabad_WH,2734,10173,8483,2021-09-01,None,None
INV000301,P011,Delhi_WH,4796,4309,4223,2021-09-01,None,None
