sale_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_percent,sales_amount,cost_amount,profit,payment_method,sales_channel,salesperson_id,city,state,region,order_date,event_type,event_description
S000001,ORD149252,C13966,P010,Fusion Charger,Accessories,3,1500,0.0,4500.0,1500,3000.0,Credit Card,Store,SP096,Amritsar,Punjab,North India,2021-01-01,None,None
S000002,ORD317177,C07779,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,UPI,Mobile App,Online,Gurugram,Haryana,North India,2021-01-01,None,None
S000003,ORD582118,C12723,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Debit Card,Store,SP007,Hyderabad,Telangana,South India,2021-01-01,None,None
S000004,ORD294109,C01965,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000005,ORD676380,C01965,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000006,ORD154859,C01965,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Chandigarh,Punjab,North India,2021-01-01,None,None
S000007,ORD852750,C07779,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Credit Card,Website,Online,Gurugram,Haryana,North India,2021-01-01,None,None
S000008,ORD239689,C13966,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Store,SP054,Amritsar,Punjab,North India,2021-01-01,None,None
S000009,ORD919970,C00598,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Udaipur,Rajasthan,West India,2021-01-01,None,None
S000010,ORD132210,C03230,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Chennai,Tamil Nadu,South India,2021-01-01,None,None
S000011,ORD518097,C12723,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP047,Hyderabad,Telangana,South India,2021-01-01,None,None
S000012,ORD602657,C02999,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Website,Online,Kozhikode,Kerala,South India,2021-01-01,None,None
S000013,ORD292634,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,Credit Card,Mobile App,Online,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000014,ORD640130,C02178,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Mobile App,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000015,ORD238464,C05998,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Store,SP042,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000016,ORD860774,C05998,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,Cash,Store,SP098,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000017,ORD669152,C02178,P009,Fusion Earbuds,Accessories,2,3000,0.0,6000.0,3000,3000.0,UPI,Website,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000018,ORD814330,C05998,P010,Fusion Charger,Accessories,1,1500,0.0,1500.0,500,1000.0,UPI,Store,SP069,Mumbai,Maharashtra,West India,2021-01-01,None,None
S000019,ORD964588,C12723,P010,Fusion Charger,Accessories,2,1500,0.0,3000.0,1000,2000.0,Debit Card,Website,Online,Hyderabad,Telangana,South India,2021-01-01,None,None
S000020,ORD767804,C05998,P009,Fusion Earbuds,Accessories,1,3000,0.0,3000.0,1500,1500.0,UPI,Mobile App,Online,Mumbai,Maharashtra,West India,2021-01-01,None,None
