order_date,product_name,category,region,quantity,month,day,dayofweek,quarter,prev_demand,Predicted_Demand
2024-08-15,Fusion Earbuds,Accessories,East India,1,8,15,3,3,2.0,7.267499
2024-10-20,Fusion Earbuds,Accessories,East India,2,10,20,6,4,1.0,7.549901
2024-12-14,Fusion Earbuds,Accessories,East India,2,12,14,5,4,1.0,9.472387
2021-01-31,Fusion Earbuds,Accessories,North India,60,1,31,6,1,43.0,7.891831
2021-03-04,Fusion Earbuds,Accessories,North India,19,3,4,3,1,4.0,8.977653
2021-04-06,Fusion Earbuds,Accessories,North India,1,4,6,1,2,4.0,8.706651
2021-05-16,Fusion Earbuds,Accessories,North India,2,5,16,6,2,19.0,10.789235
2021-06-25,Fusion Earbuds,Accessories,North India,4,6,25,4,2,1.0,7.529754
2021-08-14,Fusion Earbuds,Accessories,North India,2,8,14,5,3,2.0,4.282113
2021-09-13,Fusion Earbuds,Accessories,North India,30,9,13,0,3,4.0,9.138379
2021-10-25,Fusion Earbuds,Accessories,North India,25,10,25,0,4,6.0,6.171429
2021-12-12,Fusion Earbuds,Accessories,North India,9,12,12,6,4,4.0,5.6358
2022-01-11,Fusion Earbuds,Accessories,North India,5,1,11,1,1,3.0,6.0790462
2022-02-17,Fusion Earbuds,Accessories,North India,5,2,17,3,1,1.0,5.9393597
2022-03-23,Fusion Earbuds,Accessories,North India,1,3,23,2,1,2.0,5.291835
2022-06-21,Fusion Earbuds,Accessories,North India,1,6,21,1,2,2.0,7.81394
2022-09-24,Fusion Earbuds,Accessories,North India,3,9,24,5,3,6.0,5.017138
2022-11-05,Fusion Earbuds,Accessories,North India,5,11,5,5,4,1.0,6.6424465
2022-12-15,Fusion Earbuds,Accessories,North India,10,12,15,3,4,1.0,5.057147
2023-03-14,Fusion Earbuds,Accessories,North India,4,3,14,1,1,2.0,5.9144077
2023-05-03,Fusion Earbuds,Accessories,North India,1,5,3,2,2,1.0,6.25944
2023-06-28,Fusion Earbuds,Accessories,North India,3,6,28,2,2,3.0,11.92537
2023-09-05,Fusion Earbuds,Accessories,North India,27,9,5,1,3,2.0,18.901539
2023-10-12,Fusion Earbuds,Accessories,North India,2,10,12,3,4,2.0,6.4997463
2023-11-14,Fusion Earbuds,Accessories,North India,11,11,14,1,4,57.0,6.2119412
2024-01-08,Fusion Earbuds,Accessories,North India,3,1,8,0,1,1.0,6.3530173
2024-02-13,Fusion Earbuds,Accessories,North India,3,2,13,1,1,14.0,7.0756564
2024-03-22,Fusion Earbuds,Accessories,North India,1,3,22,4,1,3.0,6.823071
2024-05-25,Fusion Earbuds,Accessories,North India,2,5,25,5,2,1.0,9.634463
2024-07-26,Fusion Earbuds,Accessories,North India,1,7,26,4,3,3.0,12.184244
2024-10-19,Fusion Earbuds,Accessories,North India,46,10,19,5,4,2.0,8.555711
2024-11-16,Fusion Earbuds,Accessories,North India,1,11,16,5,4,29.0,12.85521
2021-01-04,Fusion Earbuds,Accessories,South India,14,1,4,0,1,144.0,12.973498
