ds,yhat,yhat_lower,yhat_upper
2021-01-01,11250818.523164794,-5397503.886647077,28787784.186456658
2021-01-02,20294017.42684894,3610028.1355773914,37317303.16561954
2021-01-03,20135939.0819067,3611084.860448526,37500364.222908705
2021-01-04,11373280.181828283,-4758440.32159615,26746010.252401747
2021-01-05,11980137.78020303,-3667276.9209187105,28864258.754468955
2021-01-06,10019526.925186897,-5975692.8670566855,28465665.01019653
2021-01-07,8650079.42002405,-7504221.639835509,24806633.29510082
2021-01-08,10516028.13123006,-5830904.3648121,27601423.706841756
2021-01-09,19709869.737435155,3766778.7551790667,35435312.87465967
2021-01-10,19737241.0703962,2824766.8116704808,36177106.054456234
2021-01-11,11191621.397053698,-4317922.3238098575,26710764.971834436
2021-01-12,12042922.441351948,-3547805.838505959,29511068.83487263
2021-01-13,10349120.070948824,-6455560.864033515,25742607.919293977
2021-01-14,9263089.228365911,-6508026.486702399,25738383.008157685
2021-01-15,11422742.665106189,-4193360.718327174,27271187.87932385
2021-01-16,20913862.070668846,4322469.303612344,37177689.373949006
2021-01-17,21235152.132000096,5988803.270960356,37086665.73473568
2021-01-18,12973125.068102036,-3192754.174272676,28959501.92342785
2021-01-19,14090872.57894114,-1856448.3056017952,29486134.42762967
2021-01-20,12639874.349623065,-3088487.5352864717,29390074.328787018
2021-01-21,11767000.106959742,-5030789.792856755,27309466.50008678
2021-01-22,14104801.52635505,-2400257.27648626,30065479.24187018
2021-01-23,23734478.75116897,7186722.578608985,39560803.55714309
2021-01-24,24151048.75498682,9611013.484797249,39120228.83349578
2021-01-25,15938320.394019453,-1544337.4699250634,32587333.982634213
2021-01-26,17057731.055640608,1517683.0109143998,32525717.24007389
2021-01-27,15560192.723459873,-925546.6812651299,31489603.82211287
2021-01-28,14593103.86669539,-1313994.8675427034,30765601.897487585
2021-01-29,16790623.598196372,934146.2793989974,33838130.48308601
2021-01-30,26236593.727399897,10991194.772888891,42894766.09529517
2021-01-31,26429637.48466462,11284133.231888983,42920408.126552284
2021-02-01,17958041.937147718,1712431.9814291028,34120984.345499486
2021-02-02,18788481.732680015,3685361.69806813,34522651.822682716
2021-02-03,16977735.196435127,1722588.0203532989,33783715.57327175
2021-02-04,15679552.771126749,-2071707.9632223346,30272213.649373513
2021-02-05,17534778.104620226,1805226.152985882,34580683.431080885
2021-02-06,26634111.438216098,9631694.139348643,42109373.763346806
2021-02-07,26483048.15743422,10901480.279505871,42699112.58472782
2021-02-08,17676603.557129413,724957.5088908655,33871883.74315955
2021-02-09,18187885.335584994,1550543.1224467352,35049112.211235
2021-02-10,16079668.459883898,-696582.2900901295,31983041.00797742
2021-02-11,14511135.669994067,-1877139.7559825012,31197791.59779675
2021-02-12,16127886.77640209,-1138316.9881255513,31846294.19501388
2021-02-13,25024608.76949431,8837189.238018157,41538657.38408384
2021-02-14,24709941.43030315,8560594.126415083,40854158.7288986
2021-02-15,15781150.752357576,189903.85896554048,33380233.744976662
2021-02-16,16212672.35927131,-500666.2917741565,33415385.90928338
2021-02-17,14067679.643160617,-1994191.4136900238,29802441.197028436
2021-02-18,12504839.333131166,-4276609.021034621,29200981.361548018
2021-02-19,14168356.955175571,-1527459.14945378,30645686.61177947
2021-02-20,23150701.994309686,6100215.602568253,38000019.02983782
2021-02-21,22957546.155194454,6476817.361810177,38285132.85870502
2021-02-22,14182524.347568076,-2716890.2007918693,29770605.541109674
2021-02-23,14795878.004712025,-1549910.1672082387,31292072.433469124
2021-02-24,12856132.598761579,-3343012.9950479027,29523529.43260539
2021-02-25,11516969.133406512,-5224002.112823325,27339758.300199762
2021-02-26,13417388.691647127,-2827191.435884459,29360760.92021336
2021-02-27,22644557.515616942,7517457.467640754,37849189.359637156
2021-02-28,22698862.439038932,7346493.679422863,40498679.82004666
2021-03-01,14168783.925330658,-1214273.0816741195,29150964.90208132
2021-03-02,15019643.79091908,-1395883.4462567344,32015044.171994824
2021-03-03,13305377.323471084,-4079853.42038881,29527378.2172615
2021-03-04,12175487.771992374,-2941375.32149377,29309481.339962557
2021-03-05,14265280.867425075,-1306169.8388436385,31035961.991174236
2021-03-06,23658765.835784446,7627278.43375711,39144991.24695607
2021-03-07,23853752.12130163,6914299.201930441,40189013.83015966
2021-03-08,15436748.878694385,-1330975.4700149014,30703795.1635204
2021-03-09,16371724.511747213,865239.5391451808,33213648.507829204
2021-03-10,14711876.532156862,-1040456.1622910112,32409642.65386885
2021-03-11,13606570.610034049,-3306694.240630791,30119737.88062576
2021-03-12,15691547.65565728,-1952764.6763365166,32667606.37816452
2021-03-13,25051786.812037345,8094105.983842224,42125188.52621002
2021-03-14,25186555.175898664,8960845.228608556,40744592.13908116
2021-03-15,16684253.030612845,-692371.7096380484,33975693.76746423
2021-03-16,17511113.66101295,1295651.1046065958,34415313.18901186
2021-03-17,15722909.827358305,-725979.5667111077,30980098.030162517
2021-03-18,14471827.530284204,-1953819.7241811813,30784605.56356365
2021-03-19,16396607.57543522,1292305.361192952,32931310.321399998
2021-03-20,25585344.3509735,8851116.031474205,42168853.01089164
2021-03-21,25540473.99835444,9024012.886208437,42921813.83138736
2021-03-22,16853561.92285807,991994.6833256471,33707214.227448665
2021-03-23,17493949.65705885,1574075.4147709373,35175100.82904221
2021-03-24,15520413.867868835,-609123.8346461419,31234136.744607795
2021-03-25,14087998.617881918,-2353924.232241974,29206002.721132018
2021-03-26,15838121.642303724,-278721.0147707722,32588443.55116087
2021-03-27,24861344.0925807,9435608.033683524,41385351.584317125
2021-03-28,24662335.771635413,7774246.40239467,41290879.45454808
2021-03-29,15834645.484132294,-999635.1354539089,32472151.616770376
2021-03-30,16349336.05527594,291067.0060776112,32656639.45800088
2021-03-31,14266636.245276954,-1740219.4351539658,30769321.479548644
2021-04-01,12742770.04019308,-3096380.957216081,29198284.81490309
2021-04-02,14420063.417628404,-3302075.669122476,29578412.328013673
2021-04-03,23389717.379343312,6134468.602190519,39511192.18557437
2021-04-04,23156778.650546663,5787632.45643683,39201065.845184475
2021-04-05,14314917.110491792,-1333032.559696287,31892266.9278503
2021-04-06,14835069.026909083,-1030899.2152213958,31450042.51439076
2021-04-07,12777097.965638302,-3035394.610277017,28395026.081167154
2021-04-08,11296633.592564404,-5204240.0239925,27200015.81787978
2021-04-09,13035188.343428422,-3427783.356200536,28998646.92856251
2021-04-10,22082940.745384775,5977785.350370282,37721494.93529877
2021-04-11,21943716.896262098,5194396.832663168,39135483.740665056
2021-04-12,13209779.371793957,-3040603.940797032,28462102.62081124
2021-04-13,13850482.926889902,-1740936.8429100867,30386977.600062426
2021-04-14,11923949.19556719,-3684642.7558585405,28079846.914401777
2021-04-15,10583920.994535523,-6329573.976054507,26267935.91378143
2021-04-16,12469896.577575661,-4430322.203351317,29457418.12005942
2021-04-17,21669932.974029172,5065977.609947869,36453360.77311634
2021-04-18,21685650.20813071,6953457.734537486,37128955.79772209
2021-04-19,13107045.872194476,-3945306.395560259,29341267.594401285
2021-04-20,13901179.5124011,-1094167.5213470187,31611490.823142156
2021-04-21,12123878.989593605,-3417683.3028762196,27833782.85736613
2021-04-22,10926629.231065288,-4641031.028826713,27230840.278684855
2021-04-23,12946743.371118095,-2415118.4557679906,29551833.24173679
2021-04-24,22270204.90310436,5443264.823559803,37835589.672181815
2021-04-25,22396711.97027715,5728438.4539357945,38554890.90875453
2021-04-26,13914532.450989377,-2380620.7256878875,29011719.127799176
2021-04-27,14789228.35027688,-869273.4929790939,31509531.678169124
2021-04-28,13075400.606461782,-3150568.934327074,28999472.230453502
2021-04-29,11923613.600437135,-4275305.19742622,28618986.029641964
2021-04-30,13970598.195359996,-3269826.804684533,29252757.9969641
2021-05-01,23302120.75876471,6161840.088624791,39929217.77607722
