month_year,region,sales_amount,month,expected_revenue,performance_gap,anomaly_score
2021-10,South India,458753945.0,10,687138131.8225002,-228384186.82250023,-1
2023-10,South India,460172695.0,10,687138131.8225002,-226965436.82250023,-1
2023-10,West India,283189400.0,10,465378689.9415205,-182189289.9415205,-1
2021-01,South India,114887775.0,1,288075617.2510714,-173187842.2510714,-1
2021-06,South India,209286820.0,6,374501058.0395238,-165214238.03952378,1
2021-05,South India,148335540.0,5,297692506.3644841,-149356966.36448407,1
2021-10,West India,326805840.0,10,465378689.9415205,-138572849.9415205,1
2021-10,North India,325255520.0,10,461750205.1983334,-136494685.19833338,1
2021-01,West India,89215125.0,1,222651051.72784084,-133435926.72784084,1
2021-07,West India,126168350.0,7,251331671.1178968,-125163321.1178968,1
2021-01,North India,109451025.0,1,232479583.1496032,-123028558.14960319,1
2024-11,South India,364064845.0,11,482230168.1262518,-118165323.12625182,1
2023-10,North India,350161905.0,10,461750205.1983334,-111588300.19833338,1
2021-12,South India,163610800.0,12,272900882.0162698,-109290082.0162698,1
2021-05,North India,92665570.0,5,197907028.3240674,-105241458.32406741,1
2021-07,South India,260268760.0,7,364578403.7573215,-104309643.75732148,1
2021-03,West India,100090705.0,3,201811829.63315472,-101721124.63315472,1
2021-06,West India,137865360.0,6,239174490.88539687,-101309130.88539687,1
2023-06,South India,274178900.0,6,374501058.0395238,-100322158.03952378,1
2022-11,West India,279848240.0,11,373922193.88902783,-94073953.88902783,1
2021-06,North India,145584805.0,6,237871333.15267318,-92286528.15267318,1
2021-02,West India,100491110.0,2,192450344.15200394,-91959234.15200394,1
2022-11,North India,276020720.0,11,361585920.35749984,-85565200.35749984,1
2021-12,North India,135140900.0,12,220475997.34238097,-85335097.34238097,1
2021-11,West India,291158180.0,11,373922193.88902783,-82764013.88902783,1
2021-02,South India,169719125.0,2,248441826.43952385,-78722701.43952385,1
2021-07,North India,165220755.0,7,242983341.48109123,-77762586.48109123,1
2021-04,North India,91769015.0,4,169488124.7266667,-77719109.72666669,1
2022-01,South India,213838305.0,1,288075617.2510714,-74237312.2510714,1
2021-12,West India,141082200.0,12,214749527.14257944,-73667327.14257944,1
2021-11,South India,410040680.0,11,482230168.1262518,-72189488.12625182,1
2023-06,East India,63919000.0,6,135765891.45525792,-71846891.45525792,1
2023-07,South India,294737820.0,7,364578403.7573215,-69840583.75732148,1
2021-11,North India,293874805.0,11,361585920.35749984,-67711115.35749984,1
2021-09,North India,153660630.0,9,217905067.05781746,-64244437.05781746,1
2021-01,East India,51514050.0,1,115511827.97811508,-63997777.97811508,1
2021-09,West India,141254890.0,9,200920326.2894841,-59665436.28948411,1
2022-03,North India,131928060.0,3,191086751.1808333,-59158691.18083331,1
2021-08,South India,223130565.0,8,282041525.9503572,-58910960.9503572,1
2021-04,West India,104199220.0,4,162332662.95146102,-58133442.95146102,1
2021-04,South India,191002230.0,4,248589937.01593247,-57587707.01593247,1
2023-10,Central India,39412500.0,10,93103525.55990078,-53691025.559900776,1
2022-08,West India,143933710.0,8,197504599.3954762,-53570889.39547619,1
2024-05,South India,244127765.0,5,297692506.3644841,-53564741.36448407,1
2021-02,North India,110240175.0,2,163301006.86160716,-53060831.861607164,1
2021-03,South India,203677635.0,3,255194673.43528858,-51517038.43528858,1
2023-04,East India,37996950.0,4,87873081.10976191,-49876131.10976191,1
2022-08,South India,232233120.0,8,282041525.9503572,-49808405.9503572,1
2021-05,West India,116459110.0,5,164693269.4763492,-48234159.476349205,1
2021-09,South India,239060730.0,9,286519228.51198417,-47458498.51198417,1
2021-08,West India,150361235.0,8,197504599.3954762,-47143364.39547619,1
2022-01,West India,177393890.0,1,222651051.72784084,-45257161.72784084,1
2022-02,South India,204112030.0,2,248441826.43952385,-44329796.439523846,1
2022-11,East India,123416570.0,11,167279684.53279763,-43863114.532797635,1
2024-03,East India,66343630.0,3,109056716.67246933,-42713086.67246933,1
2021-05,East India,57914670.0,5,100602637.8964881,-42687967.8964881,1
2022-09,West India,160449860.0,9,200920326.2894841,-40470466.28948411,1
2023-06,North India,199237560.0,6,237871333.15267318,-38633773.152673185,1
2022-02,North India,125315050.0,2,163301006.86160716,-37985956.861607164,1
2023-10,East India,166548675.0,10,203414465.871627,-36865790.871627,1
2024-11,West India,337893210.0,11,373922193.88902783,-36028983.889027834,1
2022-08,North India,158033855.0,8,193579161.1781349,-35545306.17813489,1
2021-05,Central India,13686850.0,5,46374555.41663058,-32687705.41663058,1
2022-11,South India,449883655.0,11,482230168.1262518,-32346513.126251817,1
2023-04,South India,218571055.0,4,248589937.01593247,-30018882.01593247,1
2022-12,West India,184789990.0,12,214749527.14257944,-29959537.142579436,1
2022-12,East India,75600225.0,12,103187368.98634022,-27587143.986340225,1
2021-10,East India,177622505.0,10,203414465.871627,-25791960.871627003,1
2021-08,North India,169498005.0,8,193579161.1781349,-24081156.17813489,1
2024-11,East India,143712810.0,11,167279684.53279763,-23566874.532797635,1
2021-03,North India,168305230.0,3,191086751.1808333,-22781521.18083331,1
2021-07,East India,131545200.0,7,153472610.0907738,-21927410.09077379,1
2022-01,North India,211901990.0,1,232479583.1496032,-20577593.149603188,1
2024-12,East India,83484810.0,12,103187368.98634022,-19702558.986340225,1
2024-12,Central India,17849260.0,12,36359526.65619048,-18510266.656190477,1
2023-09,East India,77868310.0,9,95013879.83654763,-17145569.836547628,1
2022-09,East India,78576810.0,9,95013879.83654763,-16437069.836547628,1
2023-02,Central India,36126700.0,2,52315436.1458225,-16188736.145822503,1
2024-08,East India,67518120.0,8,83527711.36202379,-16009591.362023786,1
2022-03,West India,187115390.0,3,201811829.63315472,-14696439.63315472,1
2022-03,South India,241430340.0,3,255194673.43528858,-13764333.435288578,1
2023-07,East India,140259505.0,7,153472610.0907738,-13213105.090773791,1
2024-11,Central India,57963990.0,11,71131341.63630952,-13167351.63630952,1
2024-05,West India,151706025.0,5,164693269.4763492,-12987244.476349205,1
2022-08,Central India,19366050.0,8,31814606.400892865,-12448556.400892865,1
2021-01,Central India,32734725.0,1,44601111.607619055,-11866386.607619055,1
2024-09,East India,83348810.0,9,95013879.83654763,-11665069.836547628,1
2022-01,Central India,33224385.0,1,44601111.607619055,-11376726.607619055,1
2021-11,East India,155982520.0,11,167279684.53279763,-11297164.532797635,1
2022-07,North India,232206745.0,7,242983341.48109123,-10776596.481091231,1
2022-03,Central India,24259775.0,3,34289633.42900794,-10029858.42900794,1
2024-06,East India,125816835.0,6,135765891.45525792,-9949056.455257922,1
2022-04,Central India,24119900.0,4,33749982.970016785,-9630082.970016785,1
2024-02,East India,71772985.0,2,81267215.53253289,-9494230.532532886,1
2022-09,Central India,30480180.0,9,39428186.248690486,-8948006.248690486,1
2023-06,Central India,45724205.0,6,54471827.792222224,-8747622.792222224,1
2023-02,East India,72700775.0,2,81267215.53253289,-8566440.532532886,1
2024-01,East India,107011820.0,1,115511827.97811508,-8500007.978115082,1
2022-04,West India,154613170.0,4,162332662.95146102,-7719492.951461017,1
2022-05,Central India,39252590.0,5,46374555.41663058,-7121965.416630581,1
2022-08,East India,77510195.0,8,83527711.36202379,-6017516.362023786,1
2023-05,East India,94784415.0,5,100602637.8964881,-5818222.8964881,1
2024-08,Central India,26688225.0,8,31814606.400892865,-5126381.400892865,1
2021-08,East India,78900470.0,8,83527711.36202379,-4627241.362023786,1
2022-02,East India,77385410.0,2,81267215.53253289,-3881805.5325328857,1
2022-02,Central India,48875660.0,2,52315436.1458225,-3439776.1458225027,1
2022-09,South India,283166235.0,9,286519228.51198417,-3352993.5119841695,1
2022-07,Central India,56892560.0,7,59195999.94031747,-2303439.940317467,1
2022-01,East India,114022115.0,1,115511827.97811508,-1489712.9781150818,1
2023-03,Central India,33094435.0,3,34289633.42900794,-1195198.42900794,1
2021-08,Central India,30705060.0,8,31814606.400892865,-1109546.400892865,1
2023-12,Central India,35765325.0,12,36359526.65619048,-594201.6561904773,1
2021-09,Central India,39033050.0,9,39428186.248690486,-395136.24869048595,1
2023-09,South India,286217800.0,9,286519228.51198417,-301428.5119841695,1
2023-07,Central India,59068690.0,7,59195999.94031747,-127309.94031746686,1
2022-11,Central India,71033040.0,11,71131341.63630952,-98301.63630951941,1
